x,y,z 
2487.134,7475.626,1384.0
2487.134,7974.025,1393.0
2487.134,8472.333,1400.0
2487.134,8970.733,1454.0
2487.134,9469.132,1490.0
2487.134,9967.532,1478.0
2487.134,10465.839,1423.0
2487.134,10964.239,1400.0
2487.134,11462.638,1377.0
2487.134,11961.038,1352.0
2487.134,12459.346,1338.0
2487.134,12957.745,1336.0
2487.134,13456.144,1353.0
2487.134,13954.544,1343.0
2487.134,14452.851,1307.0
2487.134,14951.251,1249.0
2487.134,15449.65,1213.0
2487.134,15947.958,1182.0
2487.134,16446.357,1137.0
2487.134,16944.756,1116.0
2487.134,17443.156,1174.0
2487.134,17941.463,1107.0
2487.134,18439.863,1063.0
2487.134,18938.262,992.0
2487.134,19436.661,952.0
2487.134,19934.969,896.0
2487.134,20433.368,886.0
2487.134,20931.767,863.0
2487.134,21430.166,779.0
